era,start_block,end_block,start_block_hash,start_timestamp_unix,start_datetime_utc,end_timestamp_unix,end_datetime_utc
1,3599,7198,0x9d1419b725b080e09f8d0437a612c7496e30c0f09c341ceec2824d61d3f52086,1682643336000,2023-04-28T00:55:36Z,1682664936000,2023-04-28T06:55:36Z
2,7199,10798,0xc0ef545208efd9c01c6d3456b71b67d5528dbd58c714c9994375ef86ec9f67e9,1682664936000,2023-04-28T06:55:36Z,1682686536000,2023-04-28T12:55:36Z
3,10799,14398,0x8675bf4f28b05170a819bc942d964a15e928ee5c92b1dbfe67c3e8d589ccdbe2,1682686536000,2023-04-28T12:55:36Z,1682708136000,2023-04-28T18:55:36Z
4,14399,17998,0x3a85d74ba48cff95e9d0bef2238026b8a4032b7b0f2d4bc8adcc4e110f138f45,1682708136000,2023-04-28T18:55:36Z,1682729736000,2023-04-29T00:55:36Z
5,17999,21598,0xd4c7e42132a821f4c393bd335be92855561c60d2ea740c94b35109eddc764a1f,1682729736000,2023-04-29T00:55:36Z,1682751336001,2023-04-29T06:55:36Z
6,21599,25198,0x495d4c3bc0a071e9c8d83b81a85a90c1fd21ec26cf82280cefbeff61b5530908,1682751336001,2023-04-29T06:55:36Z,1682772936000,2023-04-29T12:55:36Z
7,25199,28798,0xa0b9511f6c7797c6f908dc926c7e1384d829421511da8ae4fa0a67cf1f21b5d0,1682772936000,2023-04-29T12:55:36Z,1682794536000,2023-04-29T18:55:36Z
8,28799,32398,0x7a6d77c36bedb8409972105e6aad83b07ab7247f4c2d7e04198e3066c3116fe1,1682794536000,2023-04-29T18:55:36Z,1682816136000,2023-04-30T00:55:36Z
9,32399,35998,0x5e8c6519a5b9dd2a7df951e4fcd145047ed4274a70e78105cda318be12aa8db9,1682816136000,2023-04-30T00:55:36Z,1682837736001,2023-04-30T06:55:36Z
10,35999,39598,0x9d3c6d0da69beb55e4d338536b90ff8143e54579c69d900cdf259d455884e951,1682837736001,2023-04-30T06:55:36Z,1682859336000,2023-04-30T12:55:36Z
11,39599,43198,0x7fa19a2ba23033a5916b5cc8328394808406e690ee9c4463fcbff0aa9c7e38a3,1682859336000,2023-04-30T12:55:36Z,1682880936000,2023-04-30T18:55:36Z
12,43199,46798,0x35570033a246e7fde183f9b986f7cb97861e90e308bdc1d310a0a6daf3c8095d,1682880936000,2023-04-30T18:55:36Z,1682902536000,2023-05-01T00:55:36Z
13,46799,50398,0x91a62ec816d0dc49628249abb4db429e2879cb3f1198716e2cd1a6c451924811,1682902536000,2023-05-01T00:55:36Z,1682924136000,2023-05-01T06:55:36Z
14,50399,53998,0x8ce96d3551f3ada99e3b8f8e29b4b5544302628a5f724bc8aaa2afdef23e8e5a,1682924136000,2023-05-01T06:55:36Z,1682945736000,2023-05-01T12:55:36Z
15,53999,57598,0x313954fad6cb53397371ba4721650dbe65828c70d86518ecf13e3b06091d35e9,1682945736000,2023-05-01T12:55:36Z,1682967336000,2023-05-01T18:55:36Z
16,57599,61198,0xde750df94e5b5d7a4391cfba350057a28076a978f2ff09c5aff6a371510637b2,1682967336000,2023-05-01T18:55:36Z,1682988936000,2023-05-02T00:55:36Z
17,61199,64798,0x215e064c1d8ef40661ce062dfe3ec2f353255ddc028665004c9c6d8ddb26aa7e,1682988936000,2023-05-02T00:55:36Z,1683010536000,2023-05-02T06:55:36Z
18,64799,68398,0xea90735db87027857ff03d14393808e8c3133588e35245741e9ba174a4d30321,1683010536000,2023-05-02T06:55:36Z,1683032136000,2023-05-02T12:55:36Z
19,68399,71998,0x76018c06b7ccfdaea46730f61430cfb0094b98d1287130b87c4c09f03c0298cb,1683032136000,2023-05-02T12:55:36Z,1683053736000,2023-05-02T18:55:36Z
20,71999,75598,0x80a0ee235a097df96adc9b0815a1e11eb8c379753b8420a5231c30315aad81fd,1683053736000,2023-05-02T18:55:36Z,1683075336001,2023-05-03T00:55:36Z
21,75599,79198,0x8c562e072c8e2fa7a894c41682d0b63bfa04c8af687ac4f369d693cc367ed06e,1683075336001,2023-05-03T00:55:36Z,1683096936001,2023-05-03T06:55:36Z
22,79199,82798,0x2903af0b3c3c6e655703097b29caf421a228332a9889387eac7464a63e163a60,1683096936001,2023-05-03T06:55:36Z,1683118536001,2023-05-03T12:55:36Z
23,82799,86398,0xaeca28d64deb23fb2e35433f38c0634f5b4e358556238bd539605c3af092264a,1683118536001,2023-05-03T12:55:36Z,1683140136000,2023-05-03T18:55:36Z
24,86399,89998,0xd979c60821af435832805062e15466a9080160c61482a1ef18588dc858d0c242,1683140136000,2023-05-03T18:55:36Z,1683161736000,2023-05-04T00:55:36Z
25,89999,93598,0xbad87c3c20383af2c6b6b2b75ed3b8cdb6b2b3006295d8883d867cc4d4047269,1683161736000,2023-05-04T00:55:36Z,1683183336000,2023-05-04T06:55:36Z
26,93599,,0x4891b904a06edc45a42f318ecc63df684b6e2977630febb1cabca9ba18285a0e,1683183336000,2023-05-04T06:55:36Z,,
